target_pos,target_token_id,soft_ns,soft_nc,dP0,dPR,dPnotR
11,13,0.0169018600840391,0.7451467002345693,0.7624852061271667,0.7495977878570557,0.5681633353233337
12,314,0.0,0.22070908381659252,0.7558925747871399,0.7726866602897644,0.1668323576450348
13,1101,0.00958899437069897,0.08231374943242288,0.9523633122444153,0.9432311058044434,0.07839259505271912
14,257,0.029536398027096233,0.7589299066857548,0.8780346512794495,0.852100670337677,0.6663667559623718
15,4708,0.1319795938434641,0.9609871078634574,0.8934961557388306,0.7755728960037231,0.8586382865905762
16,16413,0.030039502646409005,0.5079602850320263,0.9241571426391602,0.8963959217071533,0.4694351255893707
17,290,0.1502407307351316,0.5896096620210747,0.9415563941001892,0.8000962734222412,0.5551507472991943
18,314,0.14497050710342893,0.621293340622162,0.918718695640564,0.7855315804481506,0.5707938075065613
19,1842,0.03025795632667272,0.5655190825651808,0.9801194071769714,0.9504629969596863,0.5542762279510498
20,284,0.10312176463100883,0.21899044460547165,0.9515390396118164,0.8534146547317505,0.20837795734405518
21,2686,0.02090484361785979,0.4561684420392328,0.986929714679718,0.9662981033325195,0.4502061903476715
22,13,0.12233965413709888,0.3468014542506493,0.9469521045684814,0.8311023116111755,0.32840436697006226
23,314,0.0753539950366553,0.13481961890735525,0.8525646328926086,0.7883204817771912,0.11494243890047073
24,1101,0.01821606916338421,0.0456778722476432,0.9827563166618347,0.96485435962677,0.04489021748304367
25,257,0.09494619180132358,0.41086238103032996,0.955827534198761,0.8650753498077393,0.3927135765552521
26,1263,0.009153557327759246,0.6005706126849597,0.9389455318450928,0.9303508400917053,0.5639030933380127
